CBSA,FIPS,AvgPrice,AvgPrIncr,Albuquerque,State,SaleInc,EmpInc,ConstInc,3YChEmp,3YChPerm,HousingGap,MarketGain
48620,20191,137750,0.02,Appleton,KS,9.9,1.7,2.3,4500,2592,1908,130099365
45940,34021,136300,0.1363,Birmingham-Hoover,NJ,7.3,7.2,20.8,17742,6181,11561,575153969.5
44180,29225,202550,0.019,Canton-Massillon,MO,8.1,7.8,9.3,9442,1658,7784,638542926
5575,17129,149025,0.0756,Columbia,IL,7,1.7,3.1,5575,3874,1701,88722033.75
44060,53065,330050,0.1101,Columbus,WA,9.3,2,2.9,71642,22218,49424,7585261908
41620,49035,425050,0.0368,Decatur,UT,8,3.9,6,-2008,211,-2219,-377274380
40060,51087,368995,-0.0776,Deltona-DaytonaBeach-OrmondBeach,VA,7,2.2,3.2,6992,2765,4227,545909652.8
38860,23031,362050,0.0343,Durham-ChapelHill,ME,7.1,0.9,1.1,17675,10595,7080,909976470
38340,25003,377500,-0.054,Farmington,MA,9,0.2,0.2,1942,504,1438,244280250
37980,42101,245000,0.1185,Fayetteville,PA-NJ-DE-MD,7.7,2.2,4.2,-2025,6019,-8044,-758750300
37860,12113,299950,0.0654,Florence,FL,8.3,1,1.1,3517,978,2539,316052815.8
36100,12083,199750,-0.001,FondduLac,FL,9.2,3.2,3.4,2492,747,1745,160339325
33340,55133,394950,0.0657,FortWayne,WI,8.3,4.9,8.3,6342,3510,2832,464176836
31540,55025,346500,0.0498,GrandRapids-Wyoming,WI,7.5,2,5.7,46275,5938,40337,5241288938
31140,18043,237049.5,0.1885,GreenBay,KY-IN,7.7,3.7,5.9,5392,3197,2195,200324606.2
29460,12105,225050,-0.002,Greensboro-HighPoint,FL,7.7,1.9,1.9,9275,6551,2724,236018937
28940,47145,252475,0.0158,Gulfport-Biloxi-Pascagoulia,TN,8.7,1.7,2.3,1600,5002,-3402,-373630178.3
28740,36111,297050,0.0421,Hagerstown-Martinsburg,NY,9.1,1,1.5,4942,2620,2322,313836295.5
28420,53021,320200,-0.0553,Huntsville,WA,9.8,0.1,0.1,7275,7414,-139,-21808822
26620,1089,267500,0.045,Kennewick-Richland,AL,7.3,1,1.3,65017,21151,43866,4282966575
25180,54003,225000,0.1247,Kingston,MD-WV,7.7,1.9,2.2,667,654,13,1126125
25060,28047,219725,0.0989,Knoxville,MS,7.7,0.3,0.5,12492,7224,5268,445641850.5
24660,37151,168600,-0.0257,Lakeland-WinterHaven,NC,9.2,1.4,2.3,12492,7224,5268,408565008
24580,55009,250000,0.0002,Louisville/JeffersonCounty,WI,7.4,1.7,2.7,42808,11699,31109,2877582500
24340,26139,324950,0.0156,Madison,MI,8.2,7.8,9.9,18875,9213,9662,1287263429
23060,18003,224450,0.0951,Fort Wayne,IN,9.5,1.8,2.5,275,2514,-2239,-238708186.3
22540,55039,155450,0.0367,Milwaukee-Waukesha-WestAllis,WI,8.9,3.3,8.2,29542,6068,23474,1623819819
22500,45041,174825,0.0251,Ocala,SC,8.8,2,3.6,5792,1785,4007,308230461
22180,37051,173625,0.0951,Pensacola-FerryPass-Brent,NC,8.3,-0.3,-0.6,56671,5450,51221,3690697142
22140,35045,219950,0.1,Philadelphia-Camden-Wilmington,NM,9.6,3.9,3.9,74658,34118,40540,4280051040
20500,37135,419950,0.0244,Pittsfield,NC,8.9,1.7,3.1,75,365,-290,-54194547.5
19660,12127,289950,0.0542,Portland-SouthPortland,FL,7.4,2.5,2.8,4492,4904,-412,-44199978
19460,1103,189974.5,-0.0007,Richmond,AL,7.4,-0.5,-0.5,30508,13588,16920,1189316360
18140,39159,249500,0.134,SaltLakeCity,OH,9.4,3.2,7.2,56900,14750,42150,4942719750
17900,45079,239950,0.2302,Spokane-SpokaneValley,SC,9.8,2.2,2.7,9942,4947,4995,587289622.5
15940,39151,165025,0.1377,Springfield,OH,7.4,5.7,7.5,12575,1611,10964,669453617
13820,1127,147550,-0.0481,Springfield,AL,8.6,1.9,2.9,9608,5446,4162,264064333
11540,55087,229850,0.0789,Trenton,WI,8.4,1.7,3.2,11233,1800,9433,910633521
10740,35061,1690050,-0.0987,Wichita,NM,8.4,0.7,1,7283,4328,2955,2097521055
